,BP,BP,BP,BP,BP,BP,GM,GM,GM,GM,GM,GM,F,F,F,F,F,F,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,PCRFY,PCRFY,PCRFY,PCRFY,PCRFY,PCRFY,RDS-B,RDS-B,RDS-B,RDS-B,RDS-B,RDS-B
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-30,34.540000915527344,35.27000045776367,34.540000915527344,35.0099983215332,25.693567276000977,11784800,34.70000076293945,34.97999954223633,34.45000076293945,34.529998779296875,29.878952026367188,15681700,11.970000267028809,12.140000343322754,11.920000076293945,11.960000038146973,9.693976402282715,47646200,38.20000076293945,38.37799835205078,37.5,37.880001068115234,37.880001068115234,17735500,10.220000267028809,10.399999618530273,10.220000267028809,10.380000114440918,10.380000114440918,380600,53.650001525878906,54.560001373291016,53.599998474121094,54.16999816894531,41.34483337402344,4513800
2016-12-01,35.689998626708984,35.95000076293945,35.369998931884766,35.38999938964844,25.972450256347656,7802400,34.810001373291016,36.65999984741211,34.790000915527344,36.43000030517578,31.52303123474121,37092300,12.229999542236328,12.800000190734863,12.180000305175781,12.430000305175781,10.07492733001709,95143600,37.650001525878906,37.70600128173828,36.20000076293945,36.375999450683594,36.375999450683594,25632000,10.600000381469727,10.600000381469727,10.300000190734863,10.390000343322754,10.390000343322754,463800,55.2599983215332,55.7599983215332,54.939998626708984,55.15999984741211,42.100440979003906,3009400
2016-12-02,35.45000076293945,35.810001373291016,35.290000915527344,35.47999954223633,26.038497924804688,5205900,36.25,36.29999923706055,35.29999923706055,35.40999984741211,30.640426635742188,22753400,12.579999923706055,12.579999923706055,12.149999618530273,12.239999771118164,9.920924186706543,38689800,36.57600021362305,36.97600173950195,36.0,36.29399871826172,36.29399871826172,20211500,10.390000343322754,10.649999618530273,10.390000343322754,10.579999923706055,10.579999923706055,4327000,54.93000030517578,55.529998779296875,54.77000045776367,55.36000061035156,42.25309371948242,2264100
2016-12-05,35.560001373291016,35.779998779296875,35.47999954223633,35.47999954223633,26.038497924804688,4710200,35.349998474121094,35.459999084472656,34.90999984741211,34.939998626708984,30.56170082092285,12440400,12.3100004196167,12.5,12.289999961853027,12.4399995803833,10.08303165435791,36220000,36.50199890136719,37.77799987792969,36.50199890136719,37.36000061035156,37.36000061035156,20361000,10.449999809265137,10.729999542236328,10.449999809265137,10.699999809265137,10.699999809265137,2206000,55.79999923706055,55.869998931884766,55.4900016784668,55.5099983215332,42.36757278442383,1187700
2016-12-06,35.68000030517578,35.70000076293945,35.34000015258789,35.56999969482422,26.10454750061035,5387000,35.09000015258789,35.15999984741211,34.90999984741211,35.06999969482422,30.675413131713867,11867800,12.399999618530273,12.59000015258789,12.369999885559082,12.5600004196167,10.180295944213867,23923900,37.104000091552734,37.316001892089844,36.5359992980957,37.16999816894531,37.16999816894531,16958000,10.729999542236328,10.970000267028809,10.6899995803833,10.920000076293945,10.920000076293945,8494300,55.56999969482422,55.83000183105469,55.33000183105469,55.720001220703125,42.52786636352539,1308700
2016-12-07,35.90999984741211,35.97999954223633,35.66999816894531,35.88999938964844,26.339397430419922,6006700,35.18000030517578,36.540000915527344,35.09000015258789,36.29999923706055,31.751272201538086,26622400,12.59000015258789,13.149999618530273,12.539999961853027,13.0600004196167,10.585562705993652,58600400,37.22999954223633,38.68000030517578,37.0,38.630001068115234,38.630001068115234,27309500,11.119999885559082,11.260000228881836,11.100000381469727,11.239999771118164,11.239999771118164,1379700,56.06999969482422,56.34000015258789,55.88999938964844,56.29999923706055,42.970542907714844,2052000
2016-12-08,36.04999923706055,36.22999954223633,35.86000061035156,36.189998626708984,26.55956268310547,5107500,36.189998626708984,36.459999084472656,36.040000915527344,36.41999816894531,31.856243133544922,14516000,13.069999694824219,13.149999618530273,12.970000267028809,13.029999732971191,10.561245918273926,41459500,38.40999984741211,38.5,37.90800094604492,38.45800018310547,38.45800018310547,15970500,11.199999809265137,11.329999923706055,11.15999984741211,11.289999961853027,11.289999961853027,1948100,56.310001373291016,56.470001220703125,55.650001525878906,56.34000015258789,43.00107192993164,2691400
2016-12-09,36.150001525878906,36.209999084472656,36.0,36.0099983215332,26.427459716796875,4633100,36.40999984741211,37.68000030517578,36.40999984741211,37.65999984741211,32.94085693359375,26434200,13.0,13.199999809265137,12.90999984741211,13.170000076293945,10.67471981048584,45256100,38.17399978637695,38.768001556396484,38.1619987487793,38.43600082397461,38.43600082397461,13612500,11.199999809265137,11.289999961853027,11.15999984741211,11.270000457763672,11.270000457763672,2662300,55.86000061035156,56.130001068115234,55.70000076293945,56.130001068115234,42.840782165527344,2808700
2016-12-12,36.61000061035156,36.810001373291016,36.43000030517578,36.5099983215332,26.794410705566406,8416600,37.5099983215332,37.7400016784668,37.0099983215332,37.099998474121094,32.45103454589844,15575200,13.079999923706055,13.100000381469727,12.8100004196167,12.819999694824219,10.391034126281738,39596800,38.560001373291016,38.88399887084961,38.236000061035156,38.486000061035156,38.486000061035156,12194500,11.050000190734863,11.149999618530273,10.970000267028809,11.079999923706055,11.079999923706055,476800,57.65999984741211,57.779998779296875,56.61000061035156,56.7400016784668,43.30636978149414,2461700
2016-12-13,36.900001525878906,36.939998626708984,36.400001525878906,36.790000915527344,26.999900817871094,7504700,37.150001525878906,37.439998626708984,36.95000076293945,37.36000061035156,32.6784553527832,9228800,12.84000015258789,12.880000114440918,12.75,12.770000457763672,10.350506782531738,39570500,38.63600158691406,40.25600051879883,38.599998474121094,39.630001068115234,39.630001068115234,34119500,11.050000190734863,11.270000457763672,11.050000190734863,11.25,11.25,609100,57.41999816894531,57.95000076293945,57.02000045776367,57.77000045776367,44.092506408691406,2316800
2016-12-14,36.7400016784668,36.880001068115234,36.0099983215332,36.02000045776367,26.434803009033203,5699800,36.29999923706055,36.779998779296875,35.93000030517578,35.95000076293945,31.44514274597168,19799000,12.649999618530273,12.789999961853027,12.5,12.529999732971191,10.155980110168457,42820100,39.74800109863281,40.599998474121094,39.35200119018555,39.737998962402344,39.737998962402344,20754500,11.239999771118164,11.369999885559082,11.149999618530273,11.239999771118164,11.239999771118164,661000,57.72999954223633,58.060001373291016,56.7599983215332,56.81999969482422,43.367427825927734,1946800
2016-12-15,35.439998626708984,35.939998626708984,35.310001373291016,35.849998474121094,26.310035705566406,5093100,35.869998931884766,36.38999938964844,35.779998779296875,36.2400016784668,31.698802947998047,18215600,12.539999961853027,12.720000267028809,12.520000457763672,12.579999923706055,10.196504592895508,23774800,39.68199920654297,40.14799880981445,39.47800064086914,39.51599884033203,39.51599884033203,16098000,11.0600004196167,11.239999771118164,11.0600004196167,11.199999809265137,11.199999809265137,175000,56.7599983215332,57.38999938964844,56.40999984741211,57.290000915527344,43.72615051269531,1854900
2016-12-16,36.209999084472656,36.72999954223633,36.13999938964844,36.59000015258789,26.85312271118164,5517100,36.400001525878906,36.40999984741211,36.099998474121094,36.369998931884766,31.812509536743164,23751600,12.65999984741211,12.699999809265137,12.5600004196167,12.630000114440918,10.237032890319824,28354900,39.61600112915039,40.518001556396484,39.52000045776367,40.49800109863281,40.49800109863281,18984500,10.899999618530273,11.039999961853027,10.899999618530273,11.010000228881836,11.010000228881836,300800,57.290000915527344,58.0,57.25,57.88999938964844,44.184085845947266,1550100
2016-12-19,36.630001068115234,36.779998779296875,36.54999923706055,36.560001373291016,26.83110237121582,4582000,36.4900016784668,36.72999954223633,36.150001525878906,36.400001525878906,31.838748931884766,10960800,12.59000015258789,12.800000190734863,12.59000015258789,12.65999984741211,10.261348724365234,22830000,40.49800109863281,40.88999938964844,39.96799850463867,40.54600143432617,40.54600143432617,17440500,10.920000076293945,11.029999732971191,10.819999694824219,11.010000228881836,11.010000228881836,160100,58.0,58.15999984741211,57.810001373291016,57.869998931884766,44.168819427490234,1303100
2016-12-20,36.650001525878906,36.79999923706055,36.47999954223633,36.52000045776367,26.80175018310547,4354700,36.400001525878906,36.72999954223633,36.22999954223633,36.61000061035156,32.022438049316406,8795900,12.699999809265137,12.819999694824219,12.680000305175781,12.779999732971191,10.358613014221191,17834000,40.61000061035156,41.79999923706055,40.5,41.757999420166016,41.757999420166016,23445500,10.970000267028809,10.970000267028809,10.829999923706055,10.859999656677246,10.859999656677246,319000,58.220001220703125,58.36000061035156,57.91999816894531,58.0,44.26804733276367,1730200
